tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
-0.00373058;-0.990798;5.4845;0.0214713;-1.01133;3.99973;0.0208215;0.0210802;9.18281;0;-1;6.5
-0.00160385;-0.984125;5.47657;0.0214713;-1.01133;3.99973;0.0213611;0.020431;9.18248;0;-1.4;6.5
-0.00160385;-0.984125;5.47657;0.0241557;-1.00956;3.99379;0.0213611;0.020431;9.18248;0;-1.4;6.5
0.00144285;-0.982903;5.4759;0.0271206;-1.00809;3.98937;0.0216336;0.0195504;9.1823;0;-1.4;6.5
0.00430376;-0.983052;5.5053;0.0304342;-1.00658;3.9747;0.0217265;0.0184438;9.18209;0;-1.4;6.5
0.00817249;-0.976529;5.52271;0.0333313;-1.00611;3.94736;0.0214448;0.0171825;9.18198;0;-1.4;6.5
0.0103644;-0.976585;5.54564;0.0356725;-1.007;3.91827;0.0210909;0.015803;9.18181;0;-1.4;6.5
0.0103644;-0.976585;5.54564;0.0373482;-1.00963;3.88958;0.0206216;0.0143287;9.18169;0;-1.4;6.5
0.0128913;-0.979607;5.59528;0.0381427;-1.01372;3.86162;0.0200395;0.0129392;9.18149;0;-1.4;6.5
0.0140341;-0.983824;5.63245;0.0379694;-1.02051;3.83478;0.019391;0.0116124;9.1813;0;-1.4;6.5
0.0134395;-0.997046;5.69216;0.0368507;-1.02932;3.80981;0.0187347;0.0105732;9.18098;0;-1.4;6.5
0.0119644;-1.0073;5.72157;0.0368507;-1.02932;3.80981;0.0181797;0.00972957;9.18065;0;-1.4;6.5
0.0119644;-1.0073;5.72157;0.0350958;-1.04074;3.78596;0.0178368;0.00912027;9.18019;0;-1.4;6.5
0.00961253;-1.01432;5.70922;0.032597;-1.05427;3.76304;0.0175861;0.00886508;9.1797;0;-1.4;6.5
0.00633378;-1.03316;5.75171;0.0299261;-1.07001;3.74279;0.0176442;0.00874728;9.17908;0;-1.4;6.5
0.00115252;-1.07151;5.80578;0.0273835;-1.08711;3.72444;0.0179607;0.00880816;9.17846;0;-1.4;6.5
-0.00244521;-1.07882;5.78346;0.024967;-1.105;3.70594;0.0184784;0.00914543;9.17773;0;-1.4;6.5
-0.00244521;-1.07882;5.78346;0.0229593;-1.12335;3.68628;0.0192545;0.00957797;9.17705;0;-1.4;6.5
-0.00291806;-1.0985;5.7966;0.0217613;-1.14143;3.66701;0.02022;0.0100647;9.17631;0;-1.4;6.5
-0.00440996;-1.09918;5.7448;0.0216065;-1.15819;3.6494;0.0212197;0.010552;9.17567;0;-1.4;6.5
-0.00216697;-1.14928;5.87746;0.0225523;-1.174;3.6345;0.0212197;0.010552;9.17567;0;-1.4;6.5
0.000307401;-1.15165;5.85194;0.024433;-1.18678;3.61768;0.0221921;0.0109888;9.17502;0;-1.4;6.5
0.000307401;-1.15165;5.85194;0.0271025;-1.19874;3.60039;0.0228725;0.0114229;9.17451;0;-1.4;6.5
0.0017411;-1.16573;5.89093;0.0300702;-1.20901;3.58081;0.0234823;0.0116399;9.17404;0;-1.4;6.5
0.0057046;-1.1678;5.8781;0.033571;-1.21505;3.56928;0.0238869;0.0116781;9.17371;0;-1.4;6.5
0.00856929;-1.17758;5.91287;0.0372428;-1.22163;3.55894;0.0241912;0.0115476;9.17341;0;-1.4;6.5
0.0159734;-1.19514;5.99492;0.0408737;-1.22629;3.54814;0.0242381;0.0112776;9.17326;0;-1.4;6.5
0.0159734;-1.19514;5.99492;0.0440706;-1.23012;3.53778;0.0241284;0.0109483;9.1731;0;-1.4;6.5
0.0177143;-1.1885;5.95577;0.0466407;-1.23407;3.52707;0.0239785;0.0104824;9.17304;0;-1.4;6.5
0.0188871;-1.18164;5.91617;0.0483164;-1.23866;3.51727;0.0237156;0.010045;9.17293;0;-1.4;6.5
0.020967;-1.19785;5.96831;0.0493584;-1.24344;3.5113;0.0234074;0.00957518;9.17285;0;-1.4;6.5
0.0214825;-1.20414;5.97432;0.0497374;-1.25052;3.50698;0.0231317;0.00902767;9.17266;0;-1.4;6.5
0.0214825;-1.20414;5.97432;0.0497789;-1.25883;3.502;0.022583;0.00843831;9.17211;0;-1.4;6.5
0.0203371;-1.20598;5.95042;0.0493776;-1.26874;3.49596;0.0223974;0.00844049;9.17172;0;-1.4;6.5
0.0196391;-1.21141;5.93216;0.0488187;-1.27954;3.49069;0.0224024;0.00875211;9.17117;0;-1.4;6.5
0.0183557;-1.2431;5.93395;0.048304;-1.29141;3.48698;0.0226658;0.00925588;9.17061;0;-1.4;6.5
0.0156439;-1.27595;6.04548;0.0476146;-1.30451;3.48288;0.0231259;0.00999438;9.1699;0;-1.4;6.5
0.0156439;-1.27595;6.04548;0.0472099;-1.31683;3.47735;0.0231259;0.00999438;9.1699;1.4;-1.4;6.5
0.0152511;-1.28521;6.03436;0.0472344;-1.32943;3.47089;0.0235659;0.0107918;9.16921;1.4;-1.4;6.5
0.014915;-1.30515;6.07238;0.0477833;-1.34087;3.46345;0.0244852;0.0128092;9.16771;1.4;-1.4;6.5
0.0203431;-1.29273;5.92983;0.0490942;-1.35103;3.45941;0.025061;0.0137508;9.16698;1.4;-1.4;6.5
0.0247439;-1.33402;6.08687;0.051795;-1.35925;3.45713;0.025602;0.0146403;9.16637;1.4;-1.4;6.5
0.0247439;-1.33402;6.08687;0.0560463;-1.36592;3.45374;0.025967;0.0153841;9.16578;1.4;-1.4;6.5
0.0248787;-1.331;6.0558;0.0617357;-1.37082;3.45049;0.0260997;0.0161209;9.16537;1.4;-1.4;6.5
0.0335584;-1.3277;6.03873;0.0688744;-1.37453;3.44314;0.0260354;0.0166939;9.16501;1.4;-1.4;6.5
0.0517866;-1.31538;5.9789;0.0911854;-1.37547;3.43125;0.0258625;0.0170196;9.16481;1.4;-1.4;6.5
0.0680665;-1.32597;6.04088;0.106959;-1.37427;3.42516;0.0255452;0.0170267;9.16462;1.4;-1.4;6.5
0.0680665;-1.32597;6.04088;0.127153;-1.37245;3.42296;0.0251354;0.016824;9.16456;1.4;-1.4;6.5
0.0882181;-1.33833;6.10712;0.151486;-1.36827;3.41896;0.0248589;0.0163729;9.16447;1.4;-1.4;6.5
0.109427;-1.33088;6.09959;0.17965;-1.36537;3.41591;0.0246425;0.0159998;9.16446;1.4;-1.4;6.5
0.169423;-1.33027;6.13388;0.212004;-1.36207;3.41613;0.0245242;0.0155577;9.16435;1.4;-1.4;6.5
0.200221;-1.29785;6.00888;0.248253;-1.35882;3.41797;0.0243479;0.0151942;9.16427;1.4;-1.4;6.5
0.200221;-1.29785;6.00888;0.287781;-1.35612;3.41957;0.0242317;0.0149468;9.16405;1.4;-1.4;6.5
0.240895;-1.31106;6.0753;0.329663;-1.35374;3.42199;0.0241461;0.0147539;9.16379;1.4;-1.4;6.5
0.282759;-1.31252;6.09182;0.373538;-1.35261;3.42799;0.0240866;0.0146506;9.16338;1.4;-1.4;6.5
0.363409;-1.28039;5.92884;0.419254;-1.3495;3.43957;0.0240931;0.014777;9.16292;1.4;-1.4;6.5
0.418561;-1.31477;6.09017;0.466236;-1.35013;3.4508;0.0240655;0.0150712;9.1623;1.4;-1.4;6.5
0.418561;-1.31477;6.09017;0.512553;-1.35041;3.46518;0.0240097;0.0155289;9.16168;1.4;-1.4;6.5
0.468924;-1.32669;6.10736;0.558858;-1.34933;3.47634;0.0239292;0.016219;9.16095;1.4;-1.4;6.5
0.497998;-1.28884;5.92363;0.603667;-1.34971;3.48945;0.0238912;0.0169791;9.16027;1.4;-1.4;6.5
0.585613;-1.3004;5.94011;0.647257;-1.34967;3.50725;0.0238577;0.017784;9.15953;1.4;-1.4;6.5
0.63318;-1.30463;5.93479;0.689583;-1.34996;3.52562;0.0237291;0.0184952;9.15891;1.4;-1.4;6.5
0.63318;-1.30463;5.93479;0.731122;-1.35062;3.53822;0.0234595;0.018968;9.15829;1.4;-1.4;6.5
0.672949;-1.31111;5.94916;0.770893;-1.35141;3.54645;0.0230143;0.0192133;9.15782;1.4;-1.4;6.5
0.711609;-1.31704;5.95005;0.808523;-1.35227;3.55437;0.0224549;0.0191855;9.1574;1.4;-1.4;6.5
0.789683;-1.3226;5.96029;0.844051;-1.35305;3.56206;0.0219399;0.0189613;9.15714;1.4;-1.4;6.5
0.810041;-1.30764;5.88654;0.87783;-1.35377;3.56952;0.021441;0.0184461;9.15694;1.4;-1.4;6.5
0.810041;-1.30764;5.88654;0.909486;-1.35445;3.57658;0.020742;0.0175744;9.15689;1.4;-1.4;6.5
0.830215;-1.29452;5.80185;0.938628;-1.35504;3.58345;0.0199943;0.0164832;9.15685;1.4;-1.4;6.5
0.866356;-1.30494;5.8465;0.965471;-1.35569;3.58796;0.0193366;0.0152525;9.15692;1.4;-1.4;6.5
0.927206;-1.31912;5.91105;0.991182;-1.35672;3.58795;0.0189305;0.0138041;9.15693;1.4;-1.4;6.5
0.929529;-1.28985;5.77822;1.01506;-1.3579;3.58567;0.0187135;0.0123254;9.15698;1.4;-1.4;6.5
0.929529;-1.28985;5.77822;1.03755;-1.35959;3.58438;0.0188031;0.0109148;9.15691;1.4;-1.4;6.5
0.966304;-1.31143;5.87596;1.05833;-1.36179;3.58627;0.0190967;0.00959421;9.15682;1.4;-1.4;6.5
0.994238;-1.32051;5.91729;1.0785;-1.36431;3.58538;0.0194961;0.0084624;9.15655;1.4;-1.4;6.5
1.02863;-1.32154;5.92214;1.09784;-1.36722;3.58432;0.0200234;0.00769226;9.15623;1.4;-1.4;6.5
1.02312;-1.29819;5.80072;1.11607;-1.37011;3.58559;0.0205381;0.00706053;9.15574;1.4;-1.4;6.5
1.02312;-1.29819;5.80072;1.13381;-1.37306;3.58787;0.0210284;0.00682853;9.1552;1.4;-1.4;6.5
1.06103;-1.32868;5.91105;1.15116;-1.37592;3.59061;0.0215879;0.00695981;9.1545;1.4;-1.4;6.5
1.08015;-1.32868;5.91105;1.16721;-1.37833;3.58937;0.0220408;0.00750375;9.15379;1.4;-1.4;6.5
1.11092;-1.33813;5.92222;1.18299;-1.38013;3.58739;0.0224169;0.00827986;9.15299;1.4;-1.4;6.5
1.10792;-1.32021;5.84117;1.19756;-1.38063;3.58746;0.0226463;0.00922358;9.15224;1.4;-1.4;6.5
1.10792;-1.32021;5.84117;1.19756;-1.38063;3.58746;0.0227615;0.0102858;9.15146;1.4;-1.4;6.5
1.13835;-1.33907;5.91552;1.21135;-1.38023;3.58664;0.0227615;0.0102858;9.15146;1.4;-1.4;6.5
1.15061;-1.34136;5.92963;1.22405;-1.37867;3.58546;0.022768;0.0113283;9.15079;1.4;-1.4;6.5
1.15772;-1.33334;5.90487;1.23533;-1.37648;3.58719;0.0227624;0.0123017;9.15015;1.4;-1.4;6.5
1.15738;-1.31824;5.84586;1.24556;-1.37136;3.59081;0.022587;0.0132302;9.14968;1.4;-1.4;6.5
1.15738;-1.31824;5.84586;1.24556;-1.37136;3.59081;0.0223065;0.0138535;9.14926;1.4;-1.4;6.5
1.16417;-1.31258;5.8318;1.25468;-1.36755;3.59545;0.0223065;0.0138535;9.14926;1.4;-1.4;6.5
1.16308;-1.30092;5.78657;1.26287;-1.3632;3.59897;0.0220747;0.0143525;9.14902;1.4;-1.4;6.5
1.20835;-1.33683;5.97722;1.27034;-1.35853;3.59956;0.0218982;0.0146716;9.14882;1.4;-1.4;6.5
1.18088;-1.29611;5.81975;1.27721;-1.35478;3.59802;0.0217172;0.0147463;9.14878;1.4;-1.4;6.5
1.18088;-1.29611;5.81975;1.28378;-1.35167;3.59579;0.0215437;0.0146102;9.14874;1.4;-1.4;6.5
1.19759;-1.30443;5.86395;1.28997;-1.34987;3.59851;0.0213378;0.0142908;9.14878;1.4;-1.4;6.5
1.21078;-1.30406;5.86105;1.29657;-1.35138;3.60791;0.0212637;0.0138828;9.14876;1.4;-1.4;6.5
1.21798;-1.30614;5.84393;1.30389;-1.35254;3.62392;0.0213063;0.0135094;9.14876;1.4;-1.4;6.5
1.22246;-1.30749;5.81005;1.31211;-1.35895;3.63892;0.0214437;0.0131961;9.14864;1.4;-1.4;6.5
1.22246;-1.30749;5.81005;1.32079;-1.36565;3.65355;0.0215337;0.0130547;9.14849;1.4;-1.4;6.5
1.23767;-1.32001;5.826;1.33016;-1.37386;3.66733;0.0217118;0.0130933;9.14817;1.4;-1.4;6.5
