tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
0.021522;0.0327779;5.66275;0.0481861;0.0618349;3.77993;0.0195579;0.0228857;9.15526;1;0;9
0.0246729;0.0313867;5.66115;0.0472307;0.0611382;3.7791;0.0180553;0.0230976;9.15442;1;0;9
0.0180936;0.0320184;5.65124;0.0452071;0.0613013;3.77762;0.0202513;0.0231679;9.15331;1;0;9
0.00767437;0.0332171;5.6723;0.039337;0.062194;3.7742;0.0229457;0.0230168;9.15262;1;0;9
0.00767437;0.0332171;5.6723;0.0347675;0.0637515;3.7702;0.0329268;0.0220455;9.15132;1;0;9
-0.00676284;0.0361517;5.69577;0.0376377;0.0650578;3.76442;0.0505902;0.0203348;9.15013;1;0;9
-0.0195272;0.0387133;5.71628;0.0531971;0.0653849;3.75968;0.075215;0.0177881;9.14896;1;0;9
-0.0193858;0.0420858;5.71182;0.0669675;0.0648603;3.7582;0.0891257;0.0163296;9.14839;1;0;9
-0.00597358;0.041537;5.67533;0.106255;0.0626192;3.75621;0.117491;0.0133152;9.14721;1;0;9
-0.00597358;0.041537;5.67533;0.130508;0.0607509;3.75512;0.130906;0.0118286;9.14659;1;0;9
0.0199695;0.0407457;5.6521;0.182793;0.0556937;3.75209;0.154934;0.00928359;9.14535;1;0;9
0.0529913;0.0379408;5.67275;0.208079;0.0533601;3.74874;0.165295;0.00811243;9.14469;1;0;9
0.0754455;0.0342238;5.75685;0.249356;0.0490386;3.73712;0.183804;0.00641892;9.14312;1;0;9
0.0784373;0.032798;5.68489;0.263505;0.0475196;3.73076;0.192766;0.00582564;9.14224;1;0;9
0.0784373;0.032798;5.68489;0.276708;0.0453312;3.71716;0.211868;0.0054129;9.1406;1;0;9
0.0603571;0.0325;5.74216;0.273592;0.0453728;3.70526;0.234738;0.00594776;9.13913;1;0;9
0.0236828;0.0328448;5.70556;0.269697;0.046396;3.69648;0.247873;0.00628887;9.13851;1;0;9
-0.0103643;0.0345399;5.71681;0.265256;0.0496783;3.68208;0.277031;0.00732147;9.13742;1;0;9
-0.0310235;0.0405085;5.79287;0.273266;0.0541876;3.66484;0.308216;0.00790252;9.13662;1;0;9
-0.0310235;0.0405085;5.79287;0.299391;0.0588036;3.64581;0.33912;0.00785674;9.13609;1;0;9
-0.0286765;0.0477941;5.91105;0.319084;0.0602532;3.63641;0.354008;0.00763722;9.13589;1;0;9
-0.0046433;0.047466;5.74705;0.367303;0.0623799;3.6229;0.382547;0.00702823;9.13567;1;0;9
0.0191176;0.0477941;5.91105;0.418437;0.0617821;3.62135;0.409597;0.00666191;9.13551;1;0;9
0.0382353;0.0477941;5.91105;0.464613;0.0590284;3.60962;0.436933;0.00648308;9.13531;1;0;9
0.0382353;0.0477941;5.91105;0.500122;0.0544525;3.59863;0.466293;0.00676909;9.13498;1;0;9
0.0457714;0.0401101;5.78316;0.513264;0.0518665;3.59925;0.481993;0.00717941;9.13479;1;0;9
0.0270486;0.0308786;5.7791;0.534976;0.0465292;3.60044;0.515336;0.0083419;9.13427;1;0;9
0.0139603;0.027638;5.80439;0.556295;0.0420467;3.59137;0.550339;0.00962539;9.13374;1;0;9
0.00608408;0.0197464;5.81927;0.583164;0.0390584;3.57881;0.585927;0.0110593;9.13332;1;0;9
0.00608408;0.0197464;5.81927;0.599674;0.0383619;3.57219;0.603455;0.0117392;9.13314;1;0;9
0.00831739;0.0195722;5.83698;0.638921;0.0389355;3.56055;0.637925;0.0133763;9.13298;1;0;9
0.0184005;0.019532;5.85568;0.683138;0.0414941;3.55061;0.671845;0.0149001;9.13294;1;0;9
0.0345907;0.0229337;5.92404;0.727002;0.0442108;3.54346;0.705873;0.0160426;9.13292;1;0;9
0.0392417;0.023076;5.83272;0.747478;0.0454557;3.54113;0.723167;0.0165275;9.13293;1;0;9
0.0392417;0.023076;5.83272;0.78478;0.0470028;3.53711;0.758741;0.0176732;9.13285;1;0;9
0.0358617;0.0242205;5.86901;0.817246;0.0472315;3.53961;0.796155;0.0188717;9.13266;1;0;9
0.028997;0.0202411;5.8228;0.848589;0.0460334;3.53848;0.834943;0.0200734;9.13233;1;0;9
0.0191176;0.0191176;5.91105;0.882027;0.0442726;3.53746;0.874861;0.0213894;9.13191;1;0;9
0.019354;0.0126338;5.90654;0.90024;0.0432287;3.53538;0.895153;0.0220191;9.13165;1;2;9
0.019354;0.0126338;5.90654;0.93924;0.041625;3.53134;0.936097;0.0234821;9.13122;1;2;9
0.0191176;0.00955882;5.91105;0.982241;0.0405509;3.53482;0.976163;0.0272564;9.13453;1;2;9
0.019132;0.00995763;5.88951;1.0266;0.041416;3.54179;1.01371;0.0340143;9.13781;1;2;9
0.0337116;-0.000856776;5.79721;1.04832;0.0430445;3.54687;1.04708;0.046275;9.13716;1;2;9
0.0399626;-0.0079683;5.85196;1.08865;0.0501978;3.55737;1.06161;0.0552497;9.13524;1;2;9
0.0399626;-0.0079683;5.85196;1.12209;0.0649696;3.56757;1.08509;0.0785342;9.12899;1;2;9
0.0485936;-0.0128734;5.94044;1.14626;0.0898818;3.56862;1.10084;0.107223;9.12169;1;2;9
0.0499446;-0.008542;5.80336;1.15385;0.106935;3.56794;1.10619;0.122489;9.11844;1;2;9
0.047605;0.00435037;5.8599;1.1591;0.150108;3.56875;1.11299;0.152692;9.11412;1;2;9
0.0342271;0.0282944;5.81564;1.15777;0.174379;3.56437;1.11533;0.166824;9.11325;1;2;9
0.0342271;0.0282944;5.81564;1.14961;0.224483;3.54737;1.11994;0.192305;9.11374;1;2;9
0.0170471;0.0535837;5.92409;1.14375;0.247916;3.54137;1.12265;0.203514;9.11474;1;2;9
0.00713869;0.0622561;5.90856;1.13307;0.283954;3.53095;1.12957;0.224169;9.1173;1;2;9
-0.0123915;0.0652507;5.8952;1.13136;0.301619;3.53349;1.1383;0.2447;9.1191;1;2;9
-0.0116893;0.0422305;5.87398;1.13508;0.303798;3.53758;1.14287;0.255798;9.11938;1;2;9
-0.0116893;0.0422305;5.87398;1.15194;0.298061;3.54829;1.15139;0.280464;9.11839;1;2;9
0.00624246;0.00554269;5.89434;1.17745;0.287439;3.55745;1.15778;0.309147;9.1158;1;2;9
0.028594;-0.0366612;5.9076;1.20407;0.28254;3.56124;1.1613;0.341306;9.11264;1;2;9
0.0522721;-0.0664064;5.79388;1.21544;0.284996;3.5613;1.16203;0.35801;9.11121;1;2;9
0.066357;-0.0801261;5.90939;1.22424;0.291479;3.56007;1.16215;0.391748;9.10942;1;2;9
0.066357;-0.0801261;5.90939;1.2336;0.318114;3.55174;1.16176;0.408324;9.10919;1;2;9
0.0695736;-0.0777204;5.91066;1.234;0.336398;3.54192;1.16138;0.424469;9.10933;1;2;9
0.0604718;-0.0611252;5.90753;1.22735;0.381698;3.5174;1.1609;0.45541;9.11072;1;2;9
0.0431706;-0.0367054;5.90773;1.21362;0.433483;3.50177;1.16143;0.484929;9.11277;1;2;9
0.0276968;-0.0162751;5.97076;1.20642;0.459034;3.49507;1.16181;0.499657;9.1138;1;2;9
0.0276968;-0.0162751;5.97076;1.19492;0.50386;3.48576;1.16219;0.529521;9.11526;1;2;9
0.0191584;-0.00654645;5.97598;1.19155;0.522643;3.48307;1.162;0.545029;9.11558;1;2;9
0.0190741;-0.00719891;5.98314;1.19043;0.538831;3.48304;1.16134;0.561143;9.11568;1;2;9
0.0252328;-0.0172017;5.94569;1.19113;0.552347;3.48537;1.16021;0.577974;9.11546;1;2;9
0.0311913;-0.0248101;5.94113;1.19593;0.574467;3.49212;1.15652;0.613403;9.11454;1;2;9
