tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
0.00564471;0.00437486;6.05254;0.00784155;0.0083292;3.3227;-0.00502173;6.91023e-05;8.99985;1;1;6
0.0058636;0.00177145;5.96244;0.00765201;0.00784318;3.32598;-0.00562562;0.000616347;8.99984;1;1;6
0.0058636;0.00177145;5.96244;0.00825041;0.00750907;3.33407;-0.00609723;0.000858274;8.9998;1;1;6
0.00830143;0.000642309;5.92636;0.0134826;0.0111073;3.34604;-0.00694872;0.00117204;8.99975;1;1;6
0.0137724;0.00417919;5.99478;0.0253105;0.02076;3.34853;-0.00781171;0.00144329;8.99969;1;1;6
0.0323541;0.016513;6.05975;0.0351595;0.0291666;3.34605;-0.00822393;0.00160212;8.99971;1;1;6
0.0636557;0.0412074;5.98405;0.0658988;0.0568272;3.34238;-0.00854865;0.00222054;8.99969;1;1;6
0.0636557;0.0412074;5.98405;0.112159;0.0999231;3.33985;-0.00863077;0.00324397;8.99971;1;1;6
0.105401;0.0839717;6.07398;0.140495;0.126991;3.33777;-0.00872242;0.00382069;8.99967;1;1;6
0.164163;0.136584;6.00415;0.204204;0.188953;3.3253;-0.00857649;0.00503082;8.99963;1;1;6
0.263877;0.23652;5.99096;0.27353;0.25917;3.31718;-0.00829854;0.0062848;8.99953;1;1;6
0.360845;0.336488;5.95334;0.343113;0.332001;3.30581;-0.0080216;0.00741402;8.99941;1;1;6
0.360845;0.336488;5.95334;0.407694;0.401992;3.29204;-0.00737102;0.00833136;8.99931;1;1;6
0.422142;0.404947;6.02748;0.466898;0.466442;3.28127;-0.00666623;0.00900591;8.99935;1;1;6
0.494244;0.482264;6.03774;0.543914;0.54768;3.26333;-0.00622549;0.00877958;8.99946;1;1;6
0.547554;0.537729;6.10309;0.588981;0.592796;3.25628;-0.00586485;0.00815866;8.99965;1;1;6
0.605682;0.595833;6.09017;0.63032;0.632004;3.25094;-0.0056285;0.00715448;8.99989;1;1;6
0.605682;0.595833;6.09017;0.66797;0.666374;3.25144;-0.00536899;0.00613113;9.0001;1;1;6
0.653807;0.642664;6.07908;0.701974;0.696554;3.25375;-0.00483561;0.00478055;9.00024;1;1;6
0.668756;0.654349;5.96016;0.731535;0.7233;3.25527;-0.00436983;0.00362394;9.00027;1;1;6
0.716129;0.698399;6.02257;0.758147;0.748219;3.25579;-0.00393093;0.00261413;9.00023;1;1;6
0.756906;0.740187;6.07183;0.79599;0.785304;3.25468;-0.00335483;0.00175886;9.00006;1;1;6
0.756906;0.740187;6.07183;0.822623;0.812777;3.25872;-0.00303799;0.00183381;8.99999;1;1;6
0.770321;0.757825;5.9887;0.850571;0.840337;3.26456;-0.00286539;0.00222873;8.99992;1;1;6
0.833009;0.818215;6.14568;0.879818;0.870047;3.2702;-0.00275363;0.00249549;8.99984;1;1;6
0.860961;0.846736;6.02585;0.909035;0.899122;3.27376;-0.00268865;0.00250732;8.99978;1;1;6
0.890993;0.876809;6.03849;0.935177;0.926398;3.28448;-0.00261428;0.0024688;8.99976;1;1;6
0.890993;0.876809;6.03849;0.956869;0.949421;3.28777;-0.00264855;0.00189463;8.9998;-1;1;6
0.918872;0.908491;6.02835;0.972147;0.966617;3.29383;-0.00276586;0.000993569;8.9999;-1;1;6
0.92922;0.922126;6.02088;0.977645;0.97733;3.30114;-0.00280742;-0.000117956;9.00005;-1;1;6
0.932226;0.930059;6.02774;0.976671;0.980349;3.30438;-0.00304472;-0.00070253;9.00017;-1;1;6
0.921869;0.931368;5.98801;0.967688;0.984352;3.30963;-0.00340769;-0.00183419;9.00033;-1;1;6
0.921869;0.931368;5.98801;0.946765;0.986906;3.31439;-0.00369878;-0.00270071;9.00043;-1;1;6
0.891439;0.937948;6.00873;0.910925;0.990004;3.31803;-0.00399821;-0.00310244;9.00045;-1;1;6
0.848662;0.943233;5.99831;0.860154;0.994879;3.31736;-0.00397169;-0.00309182;9.00035;-1;1;6
0.756381;0.946586;5.96896;0.796574;1.00249;3.31551;-0.00398271;-0.00250041;9.00018;-1;1;6
