tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
1.02304;0.0170072;5.25156;1.09975;0.041188;4.24495;0.0208139;0.0162954;9.21919;2;2;9
1.02304;0.0170072;5.25156;1.09854;0.0404764;4.2423;0.020406;0.0164048;9.21837;2;2;9
1.01839;0.0176666;5.23615;1.09675;0.0398976;4.2393;0.0199359;0.0166042;9.21751;2;2;9
1.02632;0.0171053;5.28883;1.09481;0.0393469;4.23603;0.0194995;0.0168916;9.21671;2;2;9
1.02632;0.0171053;5.28883;1.09273;0.0392683;4.23275;0.0200504;0.018075;9.217;2;2;9
1.01776;0.0171053;5.28883;1.09074;0.0394057;4.22927;0.0219096;0.0199525;9.21833;2;2;9
1.01776;0.0171053;5.28883;1.08929;0.0398783;4.22676;0.024627;0.0224442;9.21937;2;2;9
0.996023;0.012239;5.20154;1.08878;0.0408032;4.22582;0.0284835;0.0258568;9.21981;2;2;9
1.00363;0.00928892;5.25872;1.0896;0.0424959;4.2252;0.0338812;0.0304926;9.21928;2;2;9
1.00581;0.00855283;5.29074;1.0921;0.045313;4.22496;0.0410863;0.0366256;9.21784;2;2;9
0.995131;0.00626295;5.25126;1.0969;0.0492841;4.2222;0.0500717;0.044441;9.21543;2;2;9
0.995131;0.00626295;5.25126;1.10415;0.0550662;4.21861;0.0608206;0.0539514;9.21233;2;2;9
0.995435;-0.000241748;5.27257;1.11484;0.0625172;4.21577;0.0730404;0.0649987;9.20865;2;2;9
1.00205;-0.00133152;5.30037;1.12861;0.0723367;4.21273;0.0862777;0.0772596;9.20486;2;2;9
0.998716;-0.00157549;5.25926;1.14598;0.0841639;4.20856;0.100059;0.0903496;9.20112;2;2;9
1.00586;-0.00024542;5.26213;1.16555;0.0991088;4.20218;0.113909;0.104021;9.19786;2;2;9
1.00586;-0.00024542;5.26213;1.18777;0.116056;4.19573;0.127337;0.117765;9.1952;2;2;9
1.01862;0.00920402;5.2364;1.21109;0.135344;4.18811;0.140041;0.13106;9.19336;2;2;9
1.04152;0.0168948;5.28309;1.23498;0.155977;4.17783;0.15184;0.143622;9.19225;2;2;9
1.05468;0.0262006;5.2958;1.27926;0.198673;4.15177;0.172698;0.166101;9.19209;2;2;9
1.06808;0.0503533;5.29812;1.29689;0.218436;4.13855;0.182338;0.176109;9.19274;2;2;9
1.06808;0.0503533;5.29812;1.31024;0.236216;4.12647;0.191714;0.185406;9.19355;2;2;9
1.07797;0.0580811;5.33967;1.31024;0.236216;4.12647;0.191714;0.185406;9.19355;2;2;9
1.06121;0.0628444;5.28092;1.31908;0.251188;4.11513;0.201347;0.194399;9.19446;2;2;9
1.05751;0.0636148;5.31033;1.32338;0.262834;4.10455;0.211551;0.203168;9.19516;2;2;9
1.02775;0.0574952;5.30859;1.32384;0.270604;4.09571;0.222566;0.212095;9.19562;2;2;9
1.02775;0.0574952;5.30859;1.3221;0.274795;4.0864;0.234591;0.221537;9.19562;2;2;9
1.02142;0.0494214;5.37429;1.31969;0.276205;4.07613;0.247684;0.23172;9.19523;2;2;9
1.01393;0.0391385;5.42381;1.31794;0.275333;4.0667;0.261943;0.24272;9.19433;2;2;9
0.999855;0.0227424;5.44214;1.31818;0.273239;4.05852;0.276974;0.254589;9.1931;2;2;9
0.994495;0.00626012;5.47286;1.3232;0.270018;4.05357;0.292689;0.267303;9.19153;2;2;9
0.994495;0.00626012;5.47286;1.33215;0.268232;4.05006;0.30879;0.280787;9.18988;2;2;9
0.965822;-0.0209506;5.3681;1.34539;0.26788;4.04521;0.325066;0.29499;9.18817;2;2;9
0.987123;-0.0344665;5.47492;1.36293;0.270116;4.03917;0.341286;0.309767;9.18667;2;2;9
0.987242;-0.0429319;5.44357;1.38406;0.275797;4.03237;0.357198;0.324845;9.18538;2;2;9
1.00365;-0.0526974;5.44817;1.40785;0.284415;4.02162;0.372672;0.339944;9.18451;2;2;9
1.00365;-0.0526974;5.44817;1.43268;0.296893;4.0093;0.387675;0.354948;9.18395;2;2;9
1.01092;-0.0503198;5.43588;1.45773;0.313104;3.9977;0.40231;0.369725;9.18385;2;2;9
1.0184;-0.0439746;5.43256;1.50319;0.353699;3.96845;0.43131;0.398151;9.18453;2;2;9
1.04133;-0.0274118;5.53168;1.52159;0.376669;3.9524;0.446019;0.411926;9.18516;2;2;9
1.03276;-0.0141806;5.48948;1.53684;0.40004;3.93582;0.461059;0.425508;9.18593;2;2;9
1.03276;-0.0141806;5.48948;1.54875;0.423259;3.9193;0.47677;0.439056;9.18661;2;2;9
1.02673;-0.00441829;5.51325;1.55725;0.444946;3.90618;0.493321;0.452833;9.1872;2;2;9
1.0174;0.0117525;5.60308;1.56326;0.464957;3.89506;0.510306;0.466774;9.18756;2;2;9
1.00093;0.0144312;5.58614;1.56905;0.482892;3.88476;0.527736;0.480962;9.18779;2;2;9
0.987007;0.0150704;5.58777;1.57445;0.498333;3.87815;0.545889;0.495905;9.18764;2;2;9
0.987007;0.0150704;5.58777;1.58122;0.511066;3.87464;0.564081;0.511514;9.18736;2;2;9
