tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
0.0321156;0.0184049;5.52665;0.0513342;0.0463232;3.91764;0.0121882;0.0235607;9.17197;2;2;9
0.0334129;0.014553;5.54779;0.0521769;0.0448998;3.91344;0.0126757;0.0247437;9.17063;2;2;9
0.0336682;0.0130394;5.54198;0.0531268;0.0462184;3.90785;0.0154085;0.0289295;9.17308;2;2;9
0.0298472;0.0130577;5.55966;0.0542898;0.0504489;3.90415;0.021427;0.0360507;9.17551;2;2;9
0.0298472;0.0130577;5.55966;0.0576814;0.0581046;3.90293;0.032733;0.049086;9.17428;2;2;9
0.0238038;0.00986561;5.5355;0.0666859;0.0714981;3.90332;0.0503571;0.0694651;9.16925;2;2;9
0.0136613;0.00255839;5.54647;0.0848437;0.0933316;3.90208;0.073579;0.0962106;9.16196;2;2;9
0.0134962;0.00169682;5.55415;0.11328;0.125408;3.89406;0.0987603;0.126946;9.15495;2;2;9
0.0320378;0.0153006;5.56158;0.151216;0.167575;3.87993;0.122291;0.157661;9.15041;2;2;9
0.0320378;0.0153006;5.56158;0.19204;0.21602;3.86045;0.142195;0.185468;9.14912;2;2;9
0.0558068;0.0390475;5.58936;0.211011;0.240684;3.84973;0.150929;0.197855;9.14954;2;2;9
0.0782296;0.0731791;5.63293;0.240609;0.285327;3.82932;0.167574;0.220051;9.15146;2;2;9
0.0769644;0.0844593;5.66025;0.255258;0.316913;3.81422;0.18508;0.240662;9.15355;2;2;9
0.0410123;0.0685156;5.71123;0.25706;0.331312;3.80643;0.205853;0.262546;9.15443;2;2;9
0.0410123;0.0685156;5.71123;0.254587;0.331655;3.80434;0.230802;0.287618;9.15339;2;2;9
0.0145966;0.0345174;5.6191;0.257181;0.326221;3.80297;0.258912;0.316695;9.15066;2;2;9
-0.00602969;-0.00368917;5.66049;0.271968;0.3244;3.8021;0.288281;0.349063;9.14724;2;2;9
-0.0121157;-0.0413069;5.67248;0.298264;0.332818;3.78894;0.31721;0.383183;9.14437;2;2;9
-0.00295017;-0.0504728;5.67251;0.33258;0.35672;3.76927;0.344431;0.417026;9.14296;2;2;9
-0.00295017;-0.0504728;5.67251;0.368455;0.395767;3.7455;0.370114;0.449781;9.14326;2;2;9
0.0139286;-0.0325;5.74216;0.400185;0.444453;3.71882;0.395548;0.480807;9.1448;2;2;9
0.0139286;-0.0139286;5.74216;0.424592;0.495801;3.69303;0.422427;0.511232;9.14674;2;2;9
0.000542061;0.0147121;5.77682;0.442867;0.542261;3.67646;0.451484;0.54232;9.14818;2;2;9
-0.013995;0.0191105;5.80544;0.460144;0.579906;3.66575;0.482745;0.575159;9.14857;2;2;9
-0.013995;0.0191105;5.80544;0.482535;0.608698;3.66043;0.515399;0.610429;9.14789;2;2;9
-0.0261746;0.00537725;5.82804;0.51254;0.632624;3.65695;0.548438;0.648121;9.14658;2;2;9
-0.0234878;-0.0102855;5.80211;0.549897;0.656654;3.65447;0.580812;0.687533;9.14528;2;2;9
-0.00889376;-0.0294841;5.8142;0.591164;0.684896;3.65163;0.612895;0.727711;9.14456;2;2;9
-0.000364228;-0.0338761;5.80128;0.632279;0.719604;3.64587;0.64553;0.767504;9.14466;2;2;9
