tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
0.00699453;0.0218358;5.77133;0.0243068;0.0460129;3.59479;0.0118482;0.018118;9.10889;1;1;6
0.00493568;0.0175709;5.75392;0.0228434;0.0427655;3.59631;0.0127853;0.0180107;9.10836;1;1;6
0.00570087;0.013201;5.69742;0.0253334;0.0408613;3.60053;0.0134843;0.0185595;9.1075;1;1;6
0.00570087;0.013201;5.69742;0.0332547;0.0443374;3.60221;0.0139231;0.0197879;9.10644;1;1;6
0.0156398;0.019596;5.79031;0.0498861;0.0581527;3.59711;0.0143671;0.0210365;9.10538;1;1;6
0.0360038;0.0356087;5.83473;0.0793217;0.087214;3.58388;0.0141486;0.0222901;9.10453;1;1;6
0.0955882;0.0955882;5.91105;0.123989;0.135028;3.57036;0.0135151;0.022809;9.10401;1;1;6
0.152941;0.1625;5.91105;0.181406;0.199079;3.55305;0.0124098;0.0228386;9.10383;1;1;6
0.152941;0.1625;5.91105;0.24716;0.27387;3.53937;0.0112472;0.0223759;9.10387;1;1;6
0.258088;0.277206;5.91105;0.316201;0.353644;3.53086;0.0103069;0.0215588;9.10392;1;1;6
0.325;0.353676;5.91105;0.383475;0.430143;3.5243;0.00956304;0.0202048;9.10377;1;1;6
0.408896;0.454307;5.86604;0.444764;0.498239;3.52095;0.00919722;0.019062;9.10334;1;1;6
0.456455;0.500777;5.77753;0.473327;0.528762;3.52147;0.00913925;0.018151;9.10267;1;1;6
0.456455;0.500777;5.77753;0.525881;0.58177;3.52327;0.00932887;0.0178165;9.10223;1;1;6
0.510478;0.549367;5.86878;0.574168;0.627611;3.51834;0.00974205;0.0172587;9.10143;1;1;6
0.544898;0.587778;5.80403;0.597456;0.648549;3.51216;0.010115;0.0170877;9.10109;1;1;6
0.601098;0.6377;5.90318;0.643527;0.689496;3.51101;0.0110811;0.0167154;9.10047;1;1;6
0.63773;0.675129;5.88429;0.690235;0.730745;3.50919;0.0119632;0.0160505;9.10007;1;1;6
0.63773;0.675129;5.88429;0.736074;0.770275;3.50438;0.0127902;0.015376;9.09985;1;1;6
0.707353;0.736029;5.91105;0.779735;0.809251;3.50529;0.0134014;0.0149783;9.09972;1;1;6
0.745588;0.774265;5.91105;0.82021;0.846159;3.5057;0.0135051;0.0143721;9.09951;1;1;6
0.776005;0.795603;5.84881;0.855129;0.877964;3.50905;0.0132301;0.0140028;9.09912;1;1;6
0.818137;0.837286;5.84444;0.883483;0.903057;3.5144;0.0130351;0.0142196;9.09854;1;1;6
0.818137;0.837286;5.84444;0.895234;0.91322;3.51583;0.0126697;0.0146055;9.09816;1;1;6
0.836099;0.848145;5.81238;0.91441;0.930129;3.51894;0.0122229;0.0159374;9.09737;1;1;6
0.876994;0.885316;5.95222;0.929843;0.941184;3.52369;0.0117351;0.0175722;9.09655;1;1;6
0.888971;0.888971;5.91105;0.945109;0.952187;3.52594;0.0112991;0.0192512;9.09578;-1;1;6
0.909818;0.898874;5.87143;0.961249;0.963308;3.53142;0.0109729;0.0205908;9.09515;-1;1;6
0.909818;0.898874;5.87143;0.977873;0.974416;3.54493;0.0107936;0.0216997;9.09471;-1;1;6
0.92818;0.912458;5.87629;0.991202;0.987634;3.55381;0.010732;0.0227592;9.09445;-1;1;6
0.928877;0.912285;5.79312;0.995668;0.999373;3.55975;0.0107459;0.023262;9.09427;-1;1;6
0.921178;0.92621;5.77287;0.984972;1.0101;3.5653;0.0106844;0.0231468;9.09404;-1;1;6
