tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
0.00122795;0.0329557;6.0245;0.0319619;0.0489821;3.34091;0.0233992;0.00932265;9.03495;1;1;6
0.00263783;0.0327586;6.02773;0.032338;0.0483518;3.34848;0.0219363;0.00908105;9.03475;1;1;6
0.0059578;0.032482;6.01128;0.0367341;0.0502122;3.35934;0.020369;0.00941356;9.03447;1;1;6
0.0154667;0.0359467;5.9985;0.04632;0.0567438;3.37227;0.0187141;0.0099243;9.03412;1;1;6
0.034545;0.048524;5.94321;0.0652673;0.0717974;3.38254;0.0168456;0.0106992;9.03375;1;1;6
0.034545;0.048524;5.94321;0.0977241;0.0994154;3.38684;0.01537;0.0113201;9.03342;1;1;6
0.0903111;0.0922691;6.00866;0.144735;0.141238;3.38355;0.0142411;0.0115698;9.03318;1;1;6
0.142895;0.139125;6.00519;0.204604;0.19664;3.37312;0.0135374;0.0116091;9.03307;1;1;6
0.243786;0.234117;6.01409;0.273595;0.262809;3.36461;0.0132401;0.0113962;9.03308;1;1;6
0.313512;0.304265;5.98918;0.347037;0.335222;3.35713;0.0131906;0.0108921;9.03313;1;1;6
0.313512;0.304265;5.98918;0.417487;0.406032;3.34952;0.0135363;0.0101695;9.03316;1;1;6
0.38281;0.373915;6.00371;0.450498;0.439417;3.34547;0.013874;0.00910852;9.03311;1;1;6
0.470207;0.465368;5.99956;0.510443;0.500394;3.33788;0.0140325;0.00862047;9.03308;1;1;6
0.519502;0.516108;6.02978;0.560827;0.550807;3.33393;0.0142848;0.00770398;9.03292;1;1;6
0.574792;0.570578;6.03701;0.603414;0.591558;3.33274;0.0145253;0.00706512;9.03271;1;1;6
0.574792;0.570578;6.03701;0.639569;0.624701;3.33106;0.0146626;0.00637362;9.0325;1;1;6
0.608877;0.601923;6.05774;0.673467;0.654759;3.33042;0.0148588;0.00574404;9.0323;1;1;6
0.654404;0.640475;6.02257;0.7065;0.684037;3.32958;0.0151225;0.00491161;9.03214;1;1;6
0.680518;0.664156;5.96926;0.739114;0.714161;3.33021;0.0146933;0.00448557;9.03205;1;1;6
0.706805;0.690552;5.94175;0.770737;0.744925;3.33095;0.0138901;0.00405701;9.03198;1;1;6
0.706805;0.690552;5.94175;0.785512;0.760125;3.3299;0.0133757;0.0037579;9.03191;1;1;6
0.736125;0.719435;5.94584;0.813487;0.790397;3.32358;0.0119414;0.00353563;9.0318;1;1;6
0.768089;0.752894;6.00429;0.839042;0.819705;3.31367;0.0102962;0.00360476;9.03164;1;1;6
0.8125;0.802652;6.09017;0.862623;0.847902;3.30344;0.00891097;0.00393446;9.03141;1;1;6
0.832197;0.832197;6.09017;0.874129;0.86154;3.29892;0.00836967;0.00416544;9.03131;1;1;6
0.832197;0.832197;6.09017;0.895274;0.886256;3.29652;0.00721032;0.00475229;9.03103;1;1;6
0.851279;0.84903;6.07886;0.914082;0.908523;3.30115;0.00623268;0.0052167;9.03078;1;1;6
0.883833;0.882754;6.10733;0.930853;0.927343;3.30658;0.00595894;0.00613342;9.0306;1;1;6
0.882576;0.878822;5.97537;0.94503;0.941293;3.31332;0.00600302;0.00693218;9.03049;-1;-1;6
0.910985;0.901136;6.09017;0.956761;0.951064;3.32281;0.00584417;0.00757689;9.03038;-1;-1;6
0.910985;0.901136;6.09017;0.963085;0.953989;3.32736;0.00572863;0.00845265;9.03028;-1;-1;6
0.906259;0.891166;5.98959;0.963311;0.951286;3.32214;0.0049715;0.00979591;9.03017;-1;-1;6
0.907009;0.891337;6.01458;0.952666;0.938117;3.32187;0.00392788;0.0112562;9.02997;-1;-1;6
0.889491;0.868662;5.98824;0.927929;0.912605;3.31409;0.0027416;0.0127911;9.02971;-1;-1;6
0.82942;0.807724;5.96915;0.908229;0.893618;3.31167;0.00212413;0.013636;9.02952;-1;-1;6
0.82942;0.807724;5.96915;0.853833;0.84112;3.30715;0.000853826;0.0152333;9.02922;-1;-1;6
0.77525;0.751668;6.00906;0.784727;0.774209;3.30023;6.31569e-05;0.016622;9.02897;-1;-1;6
