X;Y;Z
-0.645902;-0.336306;2.87574
-0.645964;-0.336215;2.8768
-0.64593;-0.336214;2.87653
-0.646883;-0.336853;2.87997
-0.646668;-0.336581;2.87985
-0.645999;-0.336228;2.87681
-0.645547;-0.335914;2.87443
-0.646581;-0.336587;2.87942
-0.646279;-0.336333;2.87777
-0.646289;-0.33638;2.87807
-0.646751;-0.336607;2.88013
-0.646159;-0.336366;2.87769
-0.645889;-0.336116;2.87625
-0.646014;-0.336138;2.87644
-0.646034;-0.336359;2.87618
-0.645871;-0.33616;2.87636
-0.645319;-0.335824;2.87367
-0.646069;-0.336285;2.87701
-0.645472;-0.335971;2.87463
-0.646646;-0.336654;2.87911
-0.645631;-0.336037;2.87516
-0.645571;-0.335983;2.87462
-0.645086;-0.335671;2.87234
-0.646473;-0.336571;2.87924
-0.645577;-0.336138;2.87425
-0.646162;-0.336329;2.87764
-0.64637;-0.336348;2.87846
-0.646595;-0.336524;2.87912
-0.646155;-0.336306;2.87748
-0.646585;-0.336489;2.87918
-0.646487;-0.336463;2.87889
-0.646005;-0.336354;2.87617
-0.645834;-0.336126;2.87585
-0.646587;-0.336522;2.87944
-0.646194;-0.33648;2.87696
-0.646128;-0.336339;2.87745
-0.646949;-0.336848;2.8802
-0.646254;-0.336372;2.87814
-0.64619;-0.336279;2.87746
-0.645761;-0.336093;2.87553
-0.646202;-0.336423;2.877
-0.64592;-0.33616;2.87639
-0.645558;-0.336075;2.87393
-0.647199;-0.337041;2.88158
-0.645548;-0.335931;2.87477
-0.646997;-0.336768;2.88129
-0.647006;-0.336816;2.88053
-0.646431;-0.336532;2.87788
-0.646694;-0.336617;2.87991
-0.646223;-0.336275;2.87759
-0.647511;-0.337122;2.88257
-0.646459;-0.336388;2.87856
-0.645835;-0.33615;2.87602
-0.645831;-0.33607;2.87595
-0.646261;-0.336494;2.877
-0.645099;-0.335707;2.87263
-0.646466;-0.33644;2.87853
-0.645857;-0.336035;2.87597
-0.646994;-0.336719;2.881
-0.646307;-0.336297;2.87807
-0.646309;-0.336376;2.87796
-0.645889;-0.336096;2.87599
-0.645595;-0.335993;2.87492
-0.646767;-0.336617;2.87993
-0.646476;-0.336389;2.87857
-0.646088;-0.336207;2.877
-0.646103;-0.336208;2.87693
-0.64651;-0.336483;2.87895
-0.645662;-0.335945;2.87484
-0.64664;-0.336463;2.87932
-0.645877;-0.336112;2.87611
-0.646147;-0.336234;2.87705
-0.646199;-0.336254;2.87742
-0.646462;-0.336476;2.87867
-0.645385;-0.335852;2.87374
-0.645495;-0.335853;2.87431
-0.646139;-0.336218;2.877
-0.646817;-0.336641;2.88024
-0.646957;-0.336594;2.88076
-0.645723;-0.336001;2.87517
-0.646278;-0.336282;2.87778
-0.646018;-0.336112;2.87649
-0.646284;-0.336311;2.87766
-0.646566;-0.336385;2.87882
-0.645943;-0.336108;2.87631
-0.645312;-0.335801;2.87358
-0.646151;-0.336215;2.87698
-0.645932;-0.336152;2.8763
-0.646542;-0.336457;2.87876
-0.646175;-0.336308;2.87736
-0.646088;-0.33623;2.87683
-0.646406;-0.336404;2.87822
-0.646491;-0.336392;2.87847
-0.646645;-0.336473;2.87928
-0.646545;-0.336431;2.87871
-0.647325;-0.336853;2.8822
-0.646362;-0.336395;2.87811
-0.646724;-0.336567;2.87961
-0.64652;-0.336465;2.87883
-0.64563;-0.33599;2.87482
